nome,id,post,fanPost,comments,likes,shares,commentsToOwnPost,commentsToOtherPost,fan
Cristina Scaletti,85753281530,2,0,10,109,21,0,0,18637
Enrico Rossi Presidente,197611081853,3,0,437,1826,268,3,0,69962
Moreno MC,569878033051962,1,0,66,1274,126,0,0,586918
L'Adige - Quotidiano indipendente del Trentino Alto Adige,134572506600855,1,0,76,195,22,0,0,53801
Deborah Bergamini,351465298273438,0,2,0,0,0,0,0,5757
MoVimento Cinque Stelle Torino,226298867476374,2,0,41,858,0,1,0,31692
Aleteia,219753661368685,1,0,1,2,0,0,0,139375
Cityrumors.it - L'Informazione in Abruzzo,297696295586,0,1,0,0,0,0,0,23506
ItaliachiamaItalia,192962927393387,0,1,0,0,0,0,0,47940
Nichi Vendola,38771508894,2,0,553,6434,1461,0,0,569852
VITA non profit,31080577356,5,0,2,96,96,0,0,21292
TMNews Agenzia di stampa,118192508259331,6,1,89,103,43,1,0,40935
Stefano Caldoro,48398083442,1,0,8,84,34,0,0,31440
Adnkronos Agenzia di stampa,181188228134,0,7,0,0,0,0,0,106066
KTBS 3 News,162752382574,1,0,4,43,3,0,0,107040
Piero Liuzzi,499497363425753,1,0,0,12,0,0,0,279
Marco Doria x Genova,234736036582930,1,0,4,22,1,2,0,11144
BlogSicilia,86834841772,3,0,19,32,15,0,0,67725
Giorgia Meloni,38919827644,11,3,715,10648,3237,0,0,105771
Excite Italia,101704826535618,1,0,0,14,0,0,0,45376
Antonio Iannone,254382474630730,1,0,0,21,0,0,0,16016
Pino Galati,59700480878,2,0,2,15,0,0,0,1022
Marco Travaglio,8387084989,0,1,0,0,0,0,0,1530229
Calciomercato.com,125394439972,3,0,198,477,217,0,0,245684
Libertà e Giustizia,111441375589496,4,0,64,736,435,0,0,29857
Today.it,335145169857930,1,0,2,5,0,0,0,278766
Sinistra Ecologia Libertà,120380341313167,1,0,53,386,443,0,0,60760
Lettera43.it,108910775840248,11,0,48,63,3,0,0,75161
Rai.tv,88988179171,4,0,7,62,1,0,0,352239
RomaToday,41916963809,1,0,6,83,62,0,0,203054
