nome,id,post,fanPost,comments,likes,shares,commentsToOwnPost,commentsToOtherPost,fan
CAF ACLI,294102693977035,1,0,0,27,27,0,0,22654
Mattino 5,571107736282037,1,0,1,1,0,0,0,5368
L'Unione Sarda,231465552656,1,0,1,18,0,0,0,121440
Fratelli d'Italia-Alleanza Nazionale,355710427861591,0,2,0,0,0,0,0,34667
Beppe Grillo,56369076544,3,0,170,2281,358,0,0,1606533
Pier Ferdinando Casini,35596673962,1,0,47,63,11,0,0,29537
CanicattiWeb.com,68914714290,0,1,0,0,0,0,0,11775
Tvzap,39975822942,2,0,102,182,0,0,0,239369
Andrea Scanzi,226105204072482,2,0,646,5259,1573,0,0,194586
RAFFAELE FITTO,34987266938,1,0,20,274,59,0,0,19267
Matteo Salvini,252306033154,11,0,2816,27969,3991,0,0,95355
100x100 Napoli,637365836274481,1,0,0,0,0,0,0,13131
Tiscali,337653138669,0,1,0,0,0,0,0,105522
Il Foglio,61703722992,2,0,6,50,22,0,0,52013
Alfredo Pedullà,58817150119,0,1,0,0,0,0,0,304993
Blogo,111066912283452,5,0,417,1112,536,0,0,477232
Voci dal Palazzo,301880843245506,3,7,6,5,0,0,0,56156
VOTIAMOLI VIA,203675296316784,0,1,0,0,0,0,0,10382
Edmondo Cirielli Official Page,169729240903,2,0,31,200,60,0,0,6475
Panorama.it,33655328275,3,0,18,121,117,0,0,100756
L'Espresso,259865949240,11,0,950,1176,595,0,0,199877
Maurizio Crozza Official,209438142457148,1,0,339,6457,1943,0,0,817003
Renato Brunetta,18110615670,14,0,115,597,63,0,0,73656
L'angolo del Gossip,280633715391570,0,2,0,0,0,0,0,36080
Tg3,61555958157,1,0,6,8,0,0,0,111767
Giuseppe Civati,260348547488,1,0,113,496,87,0,0,125142
Linkiesta.it,107540232648073,9,0,11,72,47,0,0,100110
Lateral,345943658801172,1,0,135,47,0,0,0,26193
Di Pietro - tutte le news by Polisblog,206851549417426,3,0,4,10,0,0,0,8356
La Nazione,87812020989,0,2,0,0,0,0,0,71605
Libero,188776981163133,37,0,5299,7641,3452,0,0,130830
Sostenitori Polizia di Stato,557814260917520,1,0,0,0,0,0,0,2162
HuffPost Italia,276376685795308,15,0,657,841,173,0,0,215527
La Stanza dei Bottoni,464860230231633,0,3,0,0,0,0,0,141
MoVimento Cinque Stelle Campania,190510111944,1,0,3,9,0,0,0,16960
Il Gazzettino (sito ufficiale),154142713068,1,0,16,28,0,0,0,91112
Blitz quotidiano,73172511405,1,0,2,0,0,0,0,40911
l'Unità,292449724097,5,12,973,762,303,0,0,255402
INFORMAZIONE LIBERA,71253357381,1,0,30,214,103,0,0,1149119
PD Jesi,153733581340057,3,0,0,3,0,0,0,186
Affaritaliani.it,40204302316,6,0,105,304,183,0,0,62218
nuova Forza Italia,194509588235,1,0,11,15,14,0,0,46198
Radicali,119200734774774,2,1,2,59,0,0,0,25494
Repubblica TV,482356418498189,1,0,2,4,0,0,0,101512
Cagliari Pad,367441633300828,0,2,0,0,0,0,0,18725
Yahoo Notizie,140644149337153,1,0,34,103,64,0,0,68455
Corradino Mineo,429319385345,0,4,0,0,0,0,0,41761
Gianni Pittella,25923864548,2,0,75,806,192,0,0,32263
Giovanni Mauro,44563245962,1,0,1,23,2,0,0,3270
ANSA.it,158259371219,0,1,0,0,0,0,0,480548
La Tecnica della Scuola,187465577947087,4,0,46,212,113,0,0,38301
Fanpage.it,169992733022409,11,0,2930,8143,1597,0,0,2534437
Servizio Pubblico,281125725235741,5,0,967,2890,1046,0,0,539766
Cristina Scaletti,85753281530,1,0,5,56,0,0,0,18627
Enrico Rossi Presidente,197611081853,1,0,20,477,57,0,0,69961
Moreno MC,569878033051962,1,0,66,1274,126,0,0,586846
Deborah Bergamini,351465298273438,0,2,0,0,0,0,0,5757
ItaliaOggi,173451142707157,1,0,1,2,0,0,0,9832
TMNews Agenzia di stampa,118192508259331,6,1,132,134,81,2,0,40933
Piero Liuzzi,499497363425753,1,0,0,12,0,0,0,279
BlogSicilia,86834841772,1,0,8,12,1,0,0,67710
Giorgia Meloni,38919827644,7,1,496,7120,2098,0,0,105761
Antonio Iannone,254382474630730,1,0,0,21,0,0,0,16015
Excite Italia,101704826535618,1,0,0,14,0,0,0,45376
Libertà e Giustizia,111441375589496,2,0,29,526,315,0,0,29855
Quotidiano Laprimapagina,170733556350290,1,0,0,1,2,0,0,1769
Today.it,335145169857930,2,0,15,13,12,0,0,278744
Lettera43.it,108910775840248,5,0,20,15,2,0,0,75160
Rai.tv,88988179171,1,0,1,30,0,0,0,352230
RomaToday,41916963809,1,0,6,83,62,0,0,203041
